Year,City,Latitude,Longitude,Average Temperature (Â°F),Average Rainfall (inches),Average Atmospheric Pressure (hPa),Average Humidity (%)
2018,Tampa,27.9506,-82.4572,50.575978356001706,16.673890841056238,1015.0591650430946,62.965314058834316
2018,Seattle,47.6062,-122.3321,53.07404305704586,34.26963041358933,1013.3899494551506,64.83298047761537
2018,Los Angeles,34.0522,-118.2437,55.753611118923416,30.317857080868148,1015.1588471350691,80.18462733708324
2018,Missoula,46.8721,-113.994,68.83576768553637,50.02741008575073,1015.5367002515111,66.53086725865171
2018,Boston,42.3601,-71.0589,68.82520029227476,17.45004877698072,1015.1409415248363,63.061859624900755
2019,Tampa,27.9506,-82.4572,64.38089328759155,13.53003792604008,1014.8203838660658,64.84309815948188
2019,Seattle,47.6062,-122.3321,65.1971194710862,47.951008999532476,1015.7558677072665,69.38726233540082
2019,Los Angeles,34.0522,-118.2437,59.60603496822832,25.52810290314871,1012.8284978973379,81.53058535723933
2019,Missoula,46.8721,-113.994,71.73257327475542,20.613061167862536,1015.9833454682464,68.89669306595795
2019,Boston,42.3601,-71.0589,68.8240426716619,41.62840445700571,1014.3283045556561,80.17581787326533
2020,Tampa,27.9506,-82.4572,75.28115084774922,20.932325211389827,1015.5570296542639,68.86920108923066
2020,Seattle,47.6062,-122.3321,59.62773823550951,44.879241897620716,1015.7024834572827,66.37035745377372
2020,Los Angeles,34.0522,-118.2437,58.831340235966614,45.07934051162255,1014.6901626074686,73.76114204991927
2020,Missoula,46.8721,-113.994,55.25512644020234,46.84040487612781,1015.6060672057527,76.05712410391139
2020,Boston,42.3601,-71.0589,63.590076933287634,48.066232281980014,1015.9344831810494,72.0451813072663
2021,Tampa,27.9506,-82.4572,73.1304135243477,40.315178406187215,1013.3440350794963,73.7856767189192
2021,Seattle,47.6062,-122.3321,71.30828175719468,37.506690143271456,1015.0361388950467,78.58871313250148
2021,Los Angeles,34.0522,-118.2437,59.3299450140301,12.338380817034098,1015.4446358894425,66.78582126412198
2021,Missoula,46.8721,-113.994,58.027803892060675,28.161789939996662,1013.6358574087666,73.58139789211013
2021,Boston,42.3601,-71.0589,55.30545289618642,29.893074695394617,1013.4904380000138,78.59732031083506
2022,Tampa,27.9506,-82.4572,60.523366550336604,20.7207434001923,1013.4362438983301,72.53405928039638
2022,Seattle,47.6062,-122.3321,65.46252153464803,37.28772698199447,1015.521280509492,78.38648715377353
2022,Los Angeles,34.0522,-118.2437,59.31831312973606,20.202168543684365,1013.9186827392003,66.66847991111717
2022,Missoula,46.8721,-113.994,54.12624638617634,12.15685462012778,1013.8972028066454,75.54685618347311
2022,Boston,42.3601,-71.0589,73.61817891848837,28.522097886693512,1013.8032633697146,62.882206980692004
